"URL","Page Title","Description","Tags"
"https://cloud.google.com/learn/training/machinelearning-ai","Google Cloud AI/ML Training","Google Cloud training courses for artificial intelligence and machine learning","google-cloud,cloud,corporate,certification,hands-on"
"https://cloud.google.com/vertex-ai/generative-ai/docs/video/video-gen-prompt-guide","Google Cloud Video Generation Prompt Guide","Guide for prompting video generation models on Google Cloud Vertex AI","documentation,google-cloud,video-generation,prompt-engineering,vertex-ai"
"https://cloudskillsboost.google/paths/118","Google Cloud Skills Boost AI Path","Structured learning path for AI and ML on Google Cloud platform","google-cloud,learning-path,certification,structured"
"https://codecademy.com/catalog/subject/artificial-intelligence","Codecademy AI Courses","Interactive coding courses focused on artificial intelligence programming","platform,interactive,coding,freemium,hands-on"
"https://codecademy.com/catalog/subject/machine-learning","Codecademy Machine Learning","Interactive machine learning courses with coding practice","platform,interactive,coding,machine-learning,hands-on"
"https://codecademy.com/learn/intro-to-generative-ai","Intro to Generative AI - Codecademy","Introduction to generative AI concepts and applications","course,interactive,generative-ai,beginner,coding"
"https://codecademy.com/learn/paths/machine-learning-ai-engineering-foundations","ML/AI Engineering Foundations - Codecademy","Foundational skills for machine learning and AI engineering careers","learning-path,engineering,foundations,career-focused,hands-on"
"https://codecademy.com/learn/paths/machine-learning-engineer","Machine Learning Engineer Path - Codecademy","Complete career path for becoming a machine learning engineer","learning-path,career,engineering,comprehensive,hands-on"
"https://codecademy.com/learn/paths/machine-learning","Machine Learning Path - Codecademy","Comprehensive learning path for machine learning with hands-on projects","learning-path,interactive,machine-learning,projects,hands-on"
"https://cognitiveclass.ai/courses","Cognitive Class AI Courses","IBM's free courses on AI, data science, and cognitive computing","ibm,free,cognitive-computing,certification,corporate"
"https://comet.com/site/llm-course","LLM Course - Comet","Comprehensive course on Large Language Models and their applications","course,llm,large-language-models,advanced,practical"
"https://course.elementsofai.com","Elements of AI Course","Free comprehensive AI course by University of Helsinki covering AI fundamentals","course,free,university,finland,beginner,comprehensive"
"https://course.fast.ai","Practical Deep Learning for Coders - Fast.ai","Hands-on deep learning course focusing on practical applications","course,practical,deep-learning,coding,project-based"
"https://coursera.org/courses?query=artificial+intelligence","Coursera AI Courses","Collection of artificial intelligence courses from top universities","platform,university,mooc,certification,comprehensive"
"https://coursera.org/courses?query=pytorch","Coursera PyTorch Courses","PyTorch-focused courses for deep learning and neural networks","platform,pytorch,deep-learning,framework-specific,hands-on"
"https://coursera.org/learn/ai-for-everyone","AI for Everyone - Coursera","Non-technical introduction to AI by Andrew Ng for business professionals","course,andrew-ng,non-technical,business,beginner"
"https://coursera.org/learn/generative-ai-for-everyone","Generative AI for Everyone - Coursera","Introduction to generative AI concepts for non-technical audiences","course,generative-ai,non-technical,beginner,popular"
"https://coursera.org/learn/generative-ai-with-llms","Generative AI with LLMs - Coursera","Technical course on building applications with large language models","course,generative-ai,llm,technical,hands-on"
"https://coursera.org/learn/introduction-to-ai","Introduction to AI - Coursera","Foundational course covering basic artificial intelligence concepts","course,introduction,beginner,foundations,comprehensive"
"https://coursera.org/learn/prompt-engineering","Prompt Engineering - Coursera","Specialized course on prompt engineering for LLMs and generative AI","course,prompt-engineering,llm,specialized,practical"
"https://coursera.org/projects/open-source-models-with-hugging-face","Open Source Models with Hugging Face - Coursera","Hands-on project using Hugging Face for open-source AI models","project,hugging-face,open-source,hands-on,practical"
"https://coursera.org/specializations/ai-foundations-for-everyone","AI Foundations for Everyone - Coursera","Comprehensive AI specialization for beginners and non-technical learners","specialization,foundations,beginner,non-technical,comprehensive"
"https://coursera.org/specializations/introduction-to-generative-ai","Introduction to Generative AI - Coursera","Specialization covering generative AI concepts and applications","specialization,generative-ai,comprehensive,multi-course"
"https://coursera.org/specializations/machine-learning-introduction","Machine Learning Specialization - Coursera","Andrew Ng's updated machine learning specialization for beginners","specialization,andrew-ng,machine-learning,beginner,popular"
"https://datacamp.com/category/artificial-intelligence","DataCamp AI Courses","Interactive AI courses with hands-on coding and data analysis","platform,interactive,data-analysis,hands-on,freemium"
"https://datacamp.com/category/machine-learning","DataCamp Machine Learning","Interactive machine learning courses with practical coding exercises","platform,interactive,machine-learning,coding,data-science"
"https://datacamp.com/courses/understanding-machine-learning","Understanding Machine Learning - DataCamp","Foundational course on machine learning concepts and techniques","course,interactive,machine-learning,foundations,data-science"
"https://datacamp.com/tracks/machine-learning-scientist-with-python","ML Scientist with Python - DataCamp","Career track for becoming a machine learning scientist using Python","career-track,python,machine-learning,comprehensive,data-science"
"https://deeplearning.ai/courses","DeepLearning.AI Courses","Andrew Ng's collection of deep learning and AI courses","platform,andrew-ng,deep-learning,comprehensive,popular"
"https://deeplearning.cs.cmu.edu/F23/index.html","CMU Deep Learning Course","Carnegie Mellon's comprehensive deep learning course with lectures and assignments","course,university,cmu,deep-learning,academic,comprehensive"
"https://developer.nvidia.com/deep-learning-courses","NVIDIA Deep Learning Courses","NVIDIA's courses on deep learning and GPU computing","nvidia,deep-learning,gpu,corporate,hardware-focused"
"https://distill.pub","Distill Publication","High-quality explanations of machine learning and AI concepts with interactive visualizations","publication,visual,explanations,interactive,research"
"https://docs.anthropic.com/en/docs/agents-and-tools/claude-code/tutorials","Claude Code Tutorials - Anthropic","Tutorials for using Claude Code for AI-assisted programming","tutorials,anthropic,claude,coding,ai-assistant"
"https://docs.anthropic.com/en/docs/resources/courses","Anthropic Courses","Educational resources and courses from Anthropic","courses,anthropic,documentation,educational-resources"
"https://docs.aws.amazon.com/whitepapers/latest/aws-caf-for-ai/aws-caf-for-ai.html","AWS Cloud Adoption Framework for AI","White paper on adopting AI in cloud environments using AWS best practices","whitepaper,aws,cloud-adoption,ai-strategy,enterprise,documentation"
"https://docs.midjourney.com/hc/en-us/articles/33329261836941-Getting-Started-Guide","Midjourney Getting Started Guide","Official guide for getting started with Midjourney AI image generation","documentation,midjourney,image-generation,getting-started,ai-art"
"https://docs.pytorch.org/tutorials","PyTorch Tutorials","Official PyTorch tutorials covering deep learning and neural networks","tutorials,pytorch,official,deep-learning,framework"
"https://docs.pytorch.org/tutorials/beginner/basics/intro.html","PyTorch Basics Introduction","Introduction to PyTorch fundamentals for beginners","tutorial,pytorch,beginner,basics,framework"
"https://docs.pytorch.org/tutorials/beginner/deep_learning_60min_blitz.html","PyTorch 60-Minute Deep Learning Blitz","Quick introduction to deep learning with PyTorch","tutorial,pytorch,deep-learning,quick-start,beginner"
"https://docs.pytorch.org/tutorials/beginner/pytorch_with_examples.html","PyTorch with Examples","PyTorch tutorials with practical examples and implementations","tutorial,pytorch,examples,practical,hands-on"
"https://docs.wandb.ai/tutorials","Weights & Biases Tutorials","Tutorials for ML experiment tracking and model management","tutorials,wandb,ml-ops,experiment-tracking,tools"
"https://ecosyste.ms","Ecosyste.ms","Open source software ecosystem analysis and discovery platform","platform,open-source,ecosystem,analysis,discovery"
"https://edx.org/courses?q=ai+courses+for+beginners","edX AI Courses for Beginners","Beginner-friendly AI courses from top universities on edX","platform,university,beginner,mooc,free"
"https://edx.org/courses?q=free+ai+courses","edX Free AI Courses","Collection of free artificial intelligence courses on edX","platform,university,free,mooc,comprehensive"
"https://edx.org/learn/artificial-intelligence","edX AI Learning Hub","Comprehensive AI learning resources and courses from universities","platform,university,comprehensive,mooc,free"
"https://edx.org/learn/artificial-intelligence/google-google-ai-for-anyone","Google AI for Anyone - edX","Google's introductory AI course for general audiences","course,google,beginner,non-technical,free"
"https://edx.org/learn/artificial-intelligence/harvard-university-cs50-s-introduction-to-artificial-intelligence-with-python","Harvard CS50 AI with Python - edX","Harvard's introduction to AI using Python programming","course,harvard,university,python,programming,academic"
"https://edx.org/learn/data-science/harvard-university-introduction-to-data-science-with-python","Harvard Data Science with Python - edX","Harvard's introduction to data science using Python","course,harvard,university,data-science,python,academic"
"https://elementsofai.com","Elements of AI","Free AI course by University of Helsinki covering AI fundamentals","course,free,university,finland,beginner,comprehensive"
"https://em-executive.berkeley.edu/professional-certificate-machine-learning-artificial-intelligence","Berkeley Executive ML/AI Certificate","UC Berkeley's executive education program for ML and AI","certificate,berkeley,university,executive,professional"
"https://explore.skillbuilder.aws/learn","AWS Skill Builder","Amazon's learning platform for cloud and AI skills","platform,aws,cloud,corporate,certification"
"https://explore.skillbuilder.aws/learn/course/external/view/elearning/11323/building-a-machine-learning-ready-organization","Building ML-Ready Organization - AWS","Course on organizational readiness for machine learning adoption","course,aws,organizational,business,ml-strategy"
"https://explore.skillbuilder.aws/learn/course/external/view/elearning/17176/introduction-to-generative-ai-art-of-the-possible","Introduction to Generative AI - AWS","AWS course on generative AI possibilities and applications","course,aws,generative-ai,business,introduction"
"https://explore.skillbuilder.aws/learn/course/external/view/elearning/19495/introduction-to-responsible-ai","Introduction to Responsible AI - AWS","Course on responsible AI practices and ethics","course,aws,responsible-ai,ethics,business"
"https://explore.skillbuilder.aws/learn/course/external/view/elearning/19611/essentials-of-prompt-engineering","Essentials of Prompt Engineering - AWS","AWS course on prompt engineering fundamentals","course,aws,prompt-engineering,practical,hands-on"
"https://explore.skillbuilder.aws/learn/courses/1404/machine-learning-essentials-for-business-and-technical-decision-makers","ML Essentials for Decision Makers - AWS","Course on machine learning fundamentals for business and technical leaders","course,aws,business,decision-makers,ml-fundamentals,leadership"
"https://explore.skillbuilder.aws/learn/courses/17556/building-language-models-on-aws","Building Language Models on AWS","AWS course on constructing and deploying language models using AWS services","course,aws,language-models,llm,cloud,hands-on"
"https://explore.skillbuilder.aws/learn/courses/17763/foundations-of-prompt-engineering","Foundations of Prompt Engineering - AWS","AWS course covering prompt engineering fundamentals and best practices","course,aws,prompt-engineering,fundamentals,practical"
"https://explore.skillbuilder.aws/learn/courses/17904/building-generative-ai-applications-using-amazon-bedrock","Building GenAI Apps with Amazon Bedrock","Course on developing generative AI applications using Amazon Bedrock platform","course,aws,generative-ai,amazon-bedrock,application-development,hands-on"
"https://explore.skillbuilder.aws/learn/courses/18437/fundamentals-of-analytics-on-aws-part-1","Analytics Fundamentals on AWS Part 1","Introduction to data analytics fundamentals using AWS services","course,aws,analytics,data-science,fundamentals,cloud"
"https://explore.skillbuilder.aws/learn/courses/19488/aws-flash-generative-ai-in-action-real-world-use-cases","AWS Flash: GenAI in Action","Quick course on real-world generative AI use cases and implementations","course,aws,generative-ai,use-cases,real-world,flash-course"
"https://explore.skillbuilder.aws/learn/courses/19630/no-code-machine-learning-and-generative-ai-on-aws","No-Code ML and GenAI on AWS","Course on implementing ML and generative AI solutions without coding","course,aws,no-code,machine-learning,generative-ai,beginner-friendly"
"https://explore.skillbuilder.aws/learn/courses/21083/customizing-and-evaluating-llms-using-amazon-sagemaker-jumpstart","Customizing LLMs with SageMaker JumpStart","Advanced course on customizing and evaluating large language models","course,aws,llm,sagemaker,customization,evaluation,advanced"
"https://explore.skillbuilder.aws/learn/courses/260/machine-learning-terminology-and-process","ML Terminology and Process - AWS","Foundational course on machine learning terminology and processes","course,aws,terminology,machine-learning,foundations,beginner"
"https://freecodecamp.org/news/learn-generative-ai-in-23-hours","Learn Generative AI in 23 Hours - FreeCodeCamp","Comprehensive free course on generative AI fundamentals","course,free,freecodecamp,generative-ai,comprehensive"
"https://freecodecamp.org/news/tag/artificial-intelligence","FreeCodeCamp AI Articles","Collection of AI tutorials and articles from FreeCodeCamp","articles,freecodecamp,tutorials,free,comprehensive"
"https://futurelearn.com/courses/artificial-intelligence","Artificial Intelligence - FutureLearn","University courses on AI fundamentals and applications","platform,university,course,uk-focused,free"
"https://futurelearn.com/subjects/it-and-computer-science-courses/artificial-intelligence","FutureLearn AI Courses","Collection of AI courses from UK universities","platform,university,uk-focused,course-collection"
"https://gemini.google/overview","Google Gemini Overview","Information about Google's Gemini AI model and capabilities","product,google,gemini,llm,information"
"https://github.com/agent-network-protocol/AgentNetworkProtocol","Agent Network Protocol","Protocol for connecting and coordinating AI agents in distributed systems","github,protocol,ai-agents,networking,distributed-systems,open-source"
"https://github.com/agntcy/slim","Slim Agent Framework","Lightweight framework for building AI agents with minimal overhead","github,framework,ai-agents,lightweight,development,open-source"
"https://github.com/anthropics/courses","Anthropic Courses GitHub","Open-source courses and educational materials from Anthropic","github,anthropic,open-source,courses,educational"
"https://github.com/anthropics/prompt-eng-interactive-tutorial","Prompt Engineering Tutorial - Anthropic","Interactive tutorial for prompt engineering with Claude","tutorial,anthropic,prompt-engineering,interactive,github"
"https://github.com/athina-ai/rag-cookbooks","RAG Cookbooks","Collection of recipes and tutorials for Retrieval Augmented Generation","github,rag,cookbooks,tutorials,retrieval-augmented-generation,open-source"
"https://github.com/benjichat/voice_agent_base","Voice Agent Base","Base implementation for building voice-enabled AI agents","github,voice-agent,base-implementation,conversational-ai,open-source"
"https://github.com/crewAIInc/crewAI","CrewAI Framework","Framework for orchestrating role-playing autonomous AI agents","github,crewai,multi-agent,role-playing,autonomous,framework,open-source"
"https://github.com/dair-ai/Prompt-Engineering-Guide","Prompt Engineering Guide","Comprehensive guide to prompt engineering techniques and best practices","github,prompt-engineering,guide,comprehensive,best-practices,open-source"
"https://github.com/embabel/embabel-agent","Embabel Agent","AI agent implementation for embedding and semantic search applications","github,ai-agent,embeddings,semantic-search,nlp,open-source"
"https://github.com/FareedKhan-dev/all-rag-techniques","All RAG Techniques","Comprehensive collection of Retrieval Augmented Generation techniques","github,rag,techniques,comprehensive,retrieval-augmented-generation,open-source"
"https://github.com/FlowiseAI/Flowise","Flowise","Drag & drop UI to build customized LLM flows and AI agents","github,flowise,ui,llm-flows,ai-agents,visual-programming,open-source"
"https://github.com/genai-works-org/genai-agentos","GenAI Agent OS","Operating system for generative AI agents and workflows","github,genai,agent-os,operating-system,workflows,open-source"
"https://github.com/GokuMohandas/Made-With-ML","Made With ML","MLOps and production machine learning best practices and tutorials","github,mlops,production-ml,best-practices,tutorials,comprehensive,open-source"
"https://github.com/google-a2a/A2A","Google A2A Protocol","Agent-to-Agent communication protocol by Google","github,google,a2a,protocol,agent-communication,distributed-systems,open-source"
"https://github.com/graviraja/MLOps-Basics","MLOps Basics","Fundamental MLOps concepts and implementation tutorials","github,mlops,basics,fundamentals,tutorials,production-ml,open-source"
"https://github.com/guyernest/advanced-rag","Advanced RAG","Advanced techniques and implementations for Retrieval Augmented Generation","github,rag,advanced,techniques,retrieval-augmented-generation,open-source"
"https://github.com/HandsOnLLM/Hands-On-Large-Language-Models","Hands-On Large Language Models","Practical tutorials and implementations for working with LLMs","github,llm,hands-on,tutorials,practical,large-language-models,open-source"
"https://github.com/huggingface/transformers","Hugging Face Transformers","Open-source library for transformer models and NLP","github,hugging-face,transformers,nlp,library"
"https://github.com/i-am-bee/acp","Bee ACP","Agent Communication Protocol implementation for AI systems","github,acp,protocol,agent-communication,ai-systems,open-source"
"https://github.com/Intelligent-Internet/ii-researcher","II Researcher","AI-powered research assistant for intelligent internet applications","github,ai-researcher,research-assistant,intelligent-internet,open-source"
"https://github.com/langchain-ai/langchain","LangChain GitHub","Framework for developing applications with language models","github,langchain,framework,llm,development"
"https://github.com/langchain-ai/langchain","LangChain","Framework for developing applications with language models","github,langchain,framework,llm,application-development,popular,open-source"
"https://github.com/langchain-ai/langgraph","LangGraph","Library for building stateful, multi-actor applications with LLMs","github,langgraph,stateful,multi-actor,llm-applications,langchain,open-source"
"https://github.com/langchain-ai/open-agent-platform","Open Agent Platform","Open platform for building and deploying AI agents","github,langchain,agent-platform,deployment,ai-agents,open-source"
"https://github.com/mem0ai/mem0","Mem0 AI","Memory layer for AI applications and personalized experiences","github,mem0,memory,ai-applications,personalization,open-source"
"https://github.com/microsoft/ai-agents-for-beginners","AI Agents for Beginners - Microsoft","Microsoft's beginner guide to building AI agents","github,microsoft,ai-agents,beginner,tutorial,educational,open-source"
"https://github.com/microsoft/autogen","Microsoft AutoGen","Framework for multi-agent conversational AI systems","github,microsoft,multi-agent,conversational-ai,framework"
"https://github.com/mindsdb/mindsdb","MindsDB","ML platform that brings machine learning to databases","github,mindsdb,ml-platform,database,machine-learning,sql,open-source"
"https://github.com/modelcontextprotocol","Model Context Protocol","Protocol for AI models to access external context and tools","github,protocol,model-context,ai-models,external-context,open-source"
"https://github.com/mrdbourke/tensorflow-deep-learning","TensorFlow Deep Learning Course","Comprehensive TensorFlow course materials on GitHub","github,tensorflow,deep-learning,course,hands-on"
"https://github.com/neural-maze/philoagents-course","Philosophy Agents Course","Course on building philosophical reasoning AI agents","github,course,philosophy,reasoning-agents,educational,ethics,open-source"
"https://github.com/NirDiamant/GenAI_Agents","GenAI Agents","Collection of generative AI agent implementations and tutorials","github,genai,agents,implementations,tutorials,generative-ai,open-source"
"https://github.com/NirDiamant/RAG_Techniques","RAG Techniques","Comprehensive collection of RAG implementation techniques","github,rag,techniques,implementations,retrieval-augmented-generation,open-source"
"https://github.com/openai/gpt-2","OpenAI GPT-2","OpenAI's GPT-2 model implementation and resources","github,openai,gpt-2,language-model,open-source"
"https://github.com/patchy631/ai-engineering-hub","AI Engineering Hub","Hub for AI engineering resources, tutorials, and best practices","github,ai-engineering,hub,resources,tutorials,best-practices,open-source"
"https://github.com/pytorch/pytorch","PyTorch GitHub","Official PyTorch deep learning framework repository","github,pytorch,framework,deep-learning,official"
"https://github.com/run-llama/llama_index","LlamaIndex","Data framework for connecting custom data sources to large language models","github,llamaindex,data-framework,llm,data-connection,popular,open-source"
"https://github.com/Shubhamsaboo/awesome-llm-apps","Awesome LLM Apps","Curated collection of LLM applications and projects","github,awesome-list,llm-apps,applications,curated,projects,open-source"
"https://github.com/superagent-ai/superagent","SuperAgent","Platform for building, deploying and managing AI agents","github,superagent,platform,ai-agents,deployment,management,open-source"
"https://github.com/tensorflow/tensorflow","TensorFlow GitHub","Official TensorFlow machine learning framework repository","github,tensorflow,framework,machine-learning,official"
"https://github.com/watercrawl/WaterCrawl","WaterCrawl","Web crawling framework for AI and data collection applications","github,web-crawling,framework,ai-applications,data-collection,open-source"
"https://gradio.app","Gradio","Platform for building and sharing machine learning demos","platform,gradio,demos,machine-learning,sharing"
"https://grow.google/ai","Grow with Google AI","Google's AI training and certification programs","google,training,certification,career,corporate"
"https://huggingface.co/docs/transformers/en/training","Hugging Face Training Docs","Documentation for training transformer models","documentation,hugging-face,training,transformers,technical"
"https://huggingface.co/learn","Hugging Face Learn","Educational resources and courses from Hugging Face","platform,hugging-face,education,nlp,transformers"
"https://huggingface.co/learn/agents-course/unit0/introduction","Agents Course - Hugging Face","Introduction to building AI agents using Hugging Face tools","course,huggingface,ai-agents,introduction,hands-on,transformers"
"https://huggingface.co/learn/audio-course/chapter0/introduction","Audio Course - Hugging Face","Course on audio processing and AI for speech and sound","course,huggingface,audio,speech-processing,sound,machine-learning"
"https://huggingface.co/learn/computer-vision-course/unit0/welcome/welcome","Computer Vision Course - Hugging Face","Comprehensive computer vision course using transformers","course,huggingface,computer-vision,transformers,deep-learning,hands-on"
"https://huggingface.co/learn/computer-vision-course/unit0/welcome/welcome","Computer Vision Course - Hugging Face","Free computer vision course using Hugging Face tools","course,hugging-face,computer-vision,free,hands-on"
"https://huggingface.co/learn/cookbook/index","Hugging Face Cookbook","Collection of practical recipes for using Hugging Face tools","cookbook,huggingface,recipes,practical,tutorials,transformers"
"https://huggingface.co/learn/deep-rl-course/en/unit0/introduction","Deep RL Course - Hugging Face","Free deep reinforcement learning course","course,hugging-face,reinforcement-learning,free,deep-learning"
"https://huggingface.co/learn/deep-rl-course/unit0/introduction","Deep RL Course - Hugging Face","Deep reinforcement learning course with practical implementations","course,huggingface,reinforcement-learning,deep-rl,hands-on,transformers"
"https://huggingface.co/learn/diffusion-course/unit0/1","Diffusion Course - Hugging Face","Course on diffusion models for image generation and AI art","course,huggingface,diffusion-models,image-generation,ai-art,transformers"
"https://huggingface.co/learn/llm-course/chapter1/1","LLM Course - Hugging Face","Comprehensive course on Large Language Models","course,huggingface,llm,large-language-models,comprehensive,transformers"
"https://huggingface.co/learn/mcp-course/unit0/introduction","MCP Course - Hugging Face","Course on Model Context Protocol implementation","course,huggingface,mcp,model-context-protocol,implementation,advanced"
"https://huggingface.co/learn/ml-for-3d-course/unit0/introduction","ML for 3D Course - Hugging Face","Machine learning applications for 3D modeling and graphics","course,huggingface,3d,machine-learning,graphics,specialized"
"https://huggingface.co/learn/ml-games-course/unit0/introduction","ML for Games Course - Hugging Face","Machine learning applications in game development","course,huggingface,games,machine-learning,game-development,specialized"
"https://inst.eecs.berkeley.edu/~cs188/fa22","UC Berkeley CS188 AI","Berkeley's introduction to artificial intelligence course","course,university,berkeley,ai-fundamentals,academic"
"https://introtodeeplearning.com","MIT Introduction to Deep Learning","MIT's comprehensive deep learning course with lectures and labs","course,mit,university,deep-learning,comprehensive,academic"
"https://kaggle.com/learn","Kaggle Learn","Free micro-courses on data science and machine learning","platform,kaggle,micro-courses,data-science,free"
"https://kaggle.com/learn/intermediate-machine-learning","Intermediate Machine Learning - Kaggle","Intermediate level machine learning concepts and techniques","course,kaggle,intermediate,machine-learning,hands-on"
"https://kaggle.com/learn/intro-to-machine-learning","Intro to Machine Learning - Kaggle","Beginner-friendly introduction to machine learning","course,kaggle,beginner,machine-learning,hands-on"
"https://khanacademy.org","Khan Academy","Free educational platform with various subjects including AI","platform,khan-academy,free,educational,comprehensive"
"https://learn.microsoft.com/en-us/ai","Microsoft Learn AI","Microsoft's learning platform for AI and machine learning","platform,microsoft,corporate,certification,azure"
"https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals","Azure AI Fundamentals Certification","Microsoft certification for AI fundamentals on Azure","certification,microsoft,azure,ai-fundamentals,corporate"
"https://learn.microsoft.com/en-us/training","Microsoft Learn Training","Microsoft's comprehensive training platform for various technologies","platform,microsoft,training,comprehensive,certification,corporate"
"https://learn.microsoft.com/en-us/training/courses/ai-900t00","AI-900 Azure AI Fundamentals Course","Official Microsoft course for Azure AI certification","course,microsoft,azure,certification,ai-fundamentals"
"https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai","Fundamentals of Generative AI - Microsoft","Microsoft module on generative AI basics","module,microsoft,generative-ai,fundamentals,azure"
"https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals","Get Started with AI Fundamentals - Microsoft","Introduction to AI concepts and Azure AI services","module,microsoft,ai-fundamentals,beginner,azure"
"https://learn.microsoft.com/en-us/training/paths/craft-effective-prompts-copilot-microsoft-365","Effective Prompts for Copilot - Microsoft","Learning path for prompt engineering with Microsoft Copilot","learning-path,microsoft,copilot,prompt-engineering,office365"
"https://learn.microsoft.com/en-us/training/paths/introduction-generative-ai","Introduction to Generative AI - Microsoft","Microsoft learning path for generative AI fundamentals","learning-path,microsoft,generative-ai,azure,fundamentals"
"https://learn.microsoft.com/en-us/training/paths/tensorflow-fundamentals","TensorFlow Fundamentals - Microsoft","Microsoft learning path for TensorFlow basics","learning-path,microsoft,tensorflow,fundamentals,framework"
"https://learn.nvidia.com/en-us/training/self-paced-courses","NVIDIA Self-Paced Courses","NVIDIA's collection of AI and deep learning courses","platform,nvidia,deep-learning,gpu,self-paced"
"https://learnpytorch.io","Learn PyTorch","Comprehensive PyTorch learning resource with tutorials","tutorial,pytorch,comprehensive,hands-on,framework"
"https://lightning.ai/courses/deep-learning-fundamentals","Deep Learning Fundamentals - Lightning AI","Course on deep learning fundamentals using PyTorch Lightning","course,lightning-ai,deep-learning,pytorch,fundamentals"
"https://lightning.ai/docs/pytorch/stable/notebooks/course_UvA-DL/01-introduction-to-pytorch.html","PyTorch Introduction - Lightning AI","Introduction to PyTorch tutorial from University of Amsterdam","tutorial,lightning-ai,pytorch,university,introduction"
"https://lightning.ai/docs/pytorch/stable/tutorials.html","PyTorch Lightning Tutorials","Official tutorials for PyTorch Lightning framework","tutorials,lightning-ai,pytorch,framework,official"
"https://linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin","Career Essentials in Generative AI - LinkedIn","Career-focused learning path for generative AI skills","learning-path,linkedin,career,generative-ai,microsoft"
"https://linkedin.com/learning/topics/artificial-intelligence","LinkedIn Learning AI Topics","AI courses and learning paths on LinkedIn Learning","platform,linkedin,professional,career-focused,comprehensive"
"https://llmagents-learning.org/f24","LLM Agents Learning F24","Fall 2024 course on LLM agents and autonomous systems","course,llm-agents,autonomous-systems,fall-2024,university,academic"
"https://maven.com/courses/ai","Maven AI Courses","Live cohort-based AI courses with expert instructors","platform,maven,cohort-based,live,expert-led"
"https://maven.com/lightning-lessons?topic=AI","Maven AI Lightning Lessons","Short-form AI lessons and workshops on Maven platform","platform,maven,lightning-lessons,ai,short-form,workshops"
"https://maven.com/lightning-lessons?topic=Engineering","Maven Engineering Lightning Lessons","Engineering-focused short lessons and workshops","platform,maven,lightning-lessons,engineering,short-form,workshops"
"https://modal.com/docs","Modal Documentation","Documentation for Modal's cloud computing platform for AI","documentation,modal,cloud,ai-infrastructure,platform"
"https://mygreatlearning.com/ai/free-courses","Great Learning Free AI Courses","Collection of free AI courses with certificates","platform,great-learning,free,certification,comprehensive"
